"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923979437,0.0600016226225324,-40.3775620375401,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.2019553477959,0.0724172021789708,44.2153970527974,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373756502275,0.0575533670062105,-40.201602189027,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137022664,0.0538449081882825,-38.2511817649426,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937252128,0.0431679924276996,-43.7365572578676,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200671342,0.0439354376987316,-37.5503714797646,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833210247,0.069071757838643,48.4207791542747,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794573896,0.0617086157991211,38.7674867562502,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777686043,0.0388966420807743,47.1058085953921,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649933866,0.0419165003014033,-43.9933316493248,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046257414,0.0552681294721793,41.0015769344036,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.2625254655062,0.055218331780384,40.9741727530774,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832560139,0.075785035892757,-42.1726834057863,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295762946,0.0543254355347463,38.2834106557555,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810356449,0.0505768637235161,-38.3261823857062,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205040474,0.0462973440475718,44.00602436959,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949490813,0.0435953850774048,44.7421095477165,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169445142,0.0653981305372795,38.5901198355021,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311453818,0.0865185437332352,44.5945221458469,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774842292,0.0581377324825164,-41.3963126124102,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912748515,0.0696221041120218,-42.0008726363705,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576629812,0.040443549237028,-52.9712601073275,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041301014,0.0670975525064748,37.7738131769495,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.3389311783382,0.0358590282736552,-37.3387468316278,3.86092569080227e-305,2.37093011796016e-302,"ENO1","2023","enolase 1"
